article_title,article_author,article_abstract
Fox News ghoulishly attempting to protect Donald Trump from consequences of his coronavirus lies,The Author,"On Wednesday, we learned that Donald Trump knew that the coronavirus pandemic was serious but still continued to undermine efforts to combat it. This is a grade A scandal which should be seen as comparative to or worse than Watergate -..."
TRUE American Carnage: My cover for TIME Magazine,johnmav,"During a four-day process to create this cover, the impact of all this is really hit home. Over a 6-month period, Coronavirus takes the American lives of four Vietnam War American casualties. I kept thinking about things like that as I went..."
Trump says his COVID lies are just like Churchill's actions during the London bombings,Aldous J Pennyfarthing,"Sure, why not? Trump telling Americans outright lies about their vulnerability to a killer virus is just like Churchill trying to calm the British people during World War II. EXACTLY like it. And if you disagree, you clearly have Trump Derangement..."
Trump: Biden 'happy' to endanger lives by doing what he thinks will help him politically,Aldous J Pennyfarthing,"Low-Energy Don opened his lie-hole today and the grody innards of a Hieronymus Bosch painting spilled out. While his lies and misrepresentations weren’t as effervescent as usual, they were still pretty outrageous. It’s like Nixon fucked..."
Trump blames Bob Woodward for not warning 'the authorities' about the deadly coronavirus,Kerry Eleveld,"In an absolute political wipeout of a press conference Thursday, Donald Trump argued that journalist Bob Woodward should have “immediately�?warned the American people about how dangerous the coronavirus was, and also admitted that China was more..."
Rep. Jim Jordan tries pathetic attempt at defending Trump and is rejected by Twitter,Walter Einenkel,"Earlier Thursday, Republican Jim Jordan of Ohio—best known, according to more than half a dozen former Ohio State wrestlers, for being complicit in the sexual assault and rape of the young men under his charge when he was an assistant coach at the..."
Teachers in 5 states have died of COVID-19. Trump is still demanding all schools open their doors,Aysha Qamar,Deadly consequences are the result of schools resuming in-person learning amid the novel coronavirus. Teachers have died as a result of COVID-19 in at least five states since the beginning of the new school year. As the U.S. continues to fail its...
"Maddow Last Night: “This is the Episode Where the President Resigns.""",Bethesda 1971,Update: Please consider giving to candidates from the Florida Red District Project through this ActBlue Link or through 90for90. ************************ Last night Rachel Maddow: laid out the details of Donald Trump’s taped confession that he’d...
States put in position of deciding whether to save restaurants and economy or lives in pandemic,Joan McCarter,"While Mitch McConnell wasted even more time this week with another symbolic coronavirus ""relief"" bill, states are struggling to come up with a solution for saving bars and restaurants while still keeping their populations safe. They remain the..."
"Lordy, there's tapes: vulnerable Senate Republicans squirm over Trump's coronavirus confession",Kerry Eleveld,"Back in July, as Iowa Sen. Joni Ernst was being pressed on her previous assertion that two Ebola deaths on Obama's watch amounted to ""failed leadership,"" Ernst told CNN that Donald Trump was really ""stepping forward"" on stemming the coronavirus...."
AK-Sen: Indivisible Adds Sen. Dan Sullivan (R) To Their Payback Project Target List,poopdogcomedy,"Received this e-mail from the progressive organization, Indivisible: We’ve got some BIG Payback Project news: we’re adding Senator Dan Sullivan, Alaska’s other Trump-sympathizing senator, to our list of targets for 2020. While Alaskans will..."
‘I’m not going to let you do this�? CNN anchor shuts down Republican's attempt to dodge Trump's lies,Walter Einenkel,"If you haven’t heard, this Donald Trump guy doesn’t seem to be a particularly good guy. He doesn’t seem to be a particularly competent guy. Frankly, he seems like he’s bad for our country. Hold on while I set fire to my possessions for fear I..."
Trump and the COVID-19 Pandemic: A Record of Utter FAILURE (New Information Added),Yosef 52,Never forget: The United States has 4% of the world's population. It has 25% of the world's coronavirus deaths. Trump’s covid-19 inaction killed Americans. Here’s a counter that shows how many.
"McConnell's 'skinny' COVID-19 bill, which helps coal industry more than hungry people, gets a vote",Joan McCarter,"It's been 118 days since the House passed the $3 trillion HEROES Act, which Sen. Mitch McConnell has refused to take up, and it's 20 days until the government runs out of funding with the end of the fiscal year. Millions of Americans—across the..."
A strong majority of Americans are already dismissing Trump's October surprise,Kerry Eleveld,"Donald Trump will have to come up with a different October surprise now that basically no one but his cultists trust anything he says about the coronavirus. More than 190,000 U.S. deaths into the pandemic and less than two months out from..."
IA-Sen: Climate Denier Joni Ernst (R) Is About To Face A Reckoning With Iowa Farmers,poopdogcomedy,Inside Climate News has been doing profiles on the major races this year and how climate change has been an issue in these races. One of the big races they’ve been following is the Iowa U.S. Senate race between U.S. Senator Joni Ernst (R. IA) and...
Trump flails as the only thing to distract from a bad story about him is another bad story about him,Laura Clawson,"Last week, the big news was Donald Trump having called military service members killed or captured in action ""losers"" and ""suckers."" It was a bombshell that spurred widespread outrage and put Team Trump on the..."
"KY-Sen: McGrath (D) Raised $8.7 Million In August, Highest Monthly Total In Bid To Oust Moscow Mitch",poopdogcomedy,"From Newsweek : Kentucky Democrat Amy McGrath has set a new campaign record for fundraising in August, adding to her impressive war chest heading into the final weeks of her Senate campaign ..."
"So Grand Nagus Drumpf Didn't Want Anyone to ""Panic.""",GrafZeppelin127,We all know that Grand Nagus Drumpf didn’t hold his knowledge of how contagious and deadly the COVID-19 virus is close to his ill-fitting vest because he didn’t want to create “a panic�?among the general population. Maybe he didn’t want to create “a...
"Black immigrants don’t get the maternal care they need, and COVID-19 has made it worse",Prism Guest Writer,"By Khadija Gurnah This year has been an incomparable and often traumatic experience for us all. Fear of COVID-19 infection, homeschooling, social isolation, and economic upheaval have been common factors in our collective experiences...."
Post Master Gen'l. DeJoy's world of hurt; Congress & USPS Bd. of Governors on his butt,e2247,"Sep 8, 2020 House Oversight Cmte. to investigate Louis DeJoy on claims he pressured employees to make campaign donations ─ Cmte. urged U.S. Postal Service Bd. of Governors immediately suspend DeJoy, whom “they never should have hired..."
"Trump, Woodward, Corona, Lincoln Project",Citizen Earth,"This is more of a suggestion or hope, than a diary, but Trump’s Corona Confessions to Bob Woodward seem tailor-made for an eviscerating Lincoln Project ad. Perhaps something like this? Voice Over: “There are 189,001 reasons why Donald Trump is unfit to..."
Three reasons why Woodward's revelations about Trump and COVID-19 are so devastating for him,kos,"Celebrity political author Bob Woodward has a bombshell revelation about impeached President Donald Trump in a new book: that Trump knew how deadly the coronavirus pandemic was from the very start, and purposely lied about it."
Joe Biden reminds Michigan auto workers of Trump's broken promises,Laura Clawson,"In his first campaign visit to Michigan as the Democratic nominee, Joe Biden focused on jobs—on his own plans to create them and on Donald Trump’s failures on that front. Biden opened by slamming the “life-and-death betrayal of the American..."
Church leader who blamed COVID-19 on same-sex marriage tests positive for virus,Marissa Higgins,"Patriarch Filaret, the 91-year-old who heads Kyiv Patriarchate, a Ukrainian Orthodox Church in Ukraine, made international headlines back in March when he blamed the novel coronavirus on same-sex marriage. Now, he is making headlines again. Why?..."
"Possibly headed for court defeat, Trump admin may exclude some migrant kids from vile Miller policy",Gabe Ortiz,"BuzzFeed News reports that the Trump administration is considering excluding some migrant children from its inhumane, Stephen Miller-led policy using the novel coronavirus pandemic as an excuse to quickly and unlawfully expel asylum-seekers from..."
"GA-Sen A: Jon Ossoff (D), ""I’ll bring deeply rooted LGBTQ inclusion to U.S. Senate""",poopdogcomedy,"U.S. Senate candidate, Jon Ossoff (D. GA), recently did an interview with Q Magazine and vowed to be an unwavering ally for LGBTQ rights in the U.S. Senate: “There’s no place for discrimination on the basis of sexual orientation or gender identity,�?.."
Senate Republicans don't want to talk about what Trump knew about COVID-19 and when he knew it,Joan McCarter,"Donald Trump knew. He knew in February how dangerous, how deadly coronavirus was going to be and he deliberately played the severity of it down. Some of the revelations from the Bob Woodward interviews now surfacing are old news. Everyone watching knew..."
Lincoln Project hits with amazing speed on Woodward revelations.,Joe Pac,This is fast turn around even for LP-
A President That Shall Live In Infamy. Covid As Trump's Pearl Harbor,KeithDB,"On December 8, 1941 the President of the United States had to appraise the American public regarding an attack on American military forces in Hawaii, and across the Pacific. I suppose he could have played it down, assured the American people that it..."
